Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2017-07-05T10:01:00.000+00:00,S3A,4.45015,3.51317,5.57072,60,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170705T100139_sui_zug.tif
2017-07-06T09:35:00.000+00:00,S3A,4.32774,3.51147,5.06087,22,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170706T093528_sui_zug.tif
2017-07-01T10:05:00.000+00:00,S3A,4.464,3.77723,5.60286,6,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170701T100524_sui_zug.tif
2017-07-13T09:54:00.000+00:00,S3A,4.11579,3.58778,4.56488,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170713T095411_sui_zug.tif
2017-07-16T10:16:00.000+00:00,S3A,4.06158,3.43207,4.93759,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170716T101637_sui_zug.tif
2017-07-17T09:50:00.000+00:00,S3A,4.25699,3.09817,5.34582,58,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170717T095026_sui_zug.tif
2017-07-21T09:46:00.000+00:00,S3A,4.1109,4.1109,4.1109,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170721T094642_sui_zug.tif
2017-07-22T09:20:00.000+00:00,S3A,7.46092,6.25509,9.2612,17,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170722T092031_sui_zug.tif
2017-07-29T09:39:00.000+00:00,S3A,8.00505,6.01058,9.50539,13,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170729T093913_sui_zug.tif
2017-08-01T10:01:00.000+00:00,S3A,9.95849,8.27689,11.10269,34,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170801T100139_sui_zug.tif
2017-08-02T09:35:00.000+00:00,S3A,9.69741,7.4346,11.00803,34,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170802T093528_sui_zug.tif
2017-08-05T09:57:00.000+00:00,S3A,6.89194,5.48777,8.17888,66,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170805T095755_sui_zug.tif
2017-08-13T09:50:00.000+00:00,S3A,6.48728,4.34076,8.47889,56,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170813T095026_sui_zug.tif
2017-08-14T09:24:00.000+00:00,S3A,8.05125,5.97988,9.6537,34,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170814T092415_sui_zug.tif
2017-08-16T10:12:00.000+00:00,S3A,6.6562,6.25973,7.06385,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170816T101253_sui_zug.tif
2017-08-17T09:46:00.000+00:00,S3A,6.76686,5.61626,8.2833,7,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170817T094642_sui_zug.tif
2017-08-18T09:20:00.000+00:00,S3A,8.11117,6.67496,8.9409,44,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170818T092031_sui_zug.tif
2017-08-20T10:09:00.000+00:00,S3A,7.25154,7.25154,7.25154,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170820T100908_sui_zug.tif
2017-08-22T09:16:00.000+00:00,S3A,8.44865,6.48869,9.58893,30,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170822T091646_sui_zug.tif
2017-08-24T10:05:00.000+00:00,S3A,7.21125,5.90565,8.35717,24,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170824T100524_sui_zug.tif
2017-08-29T09:35:00.000+00:00,S3A,7.39916,5.94192,8.61256,52,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170829T093528_sui_zug.tif
2017-09-05T09:54:00.000+00:00,S3A,8.83592,6.68852,10.99102,55,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170905T095411_sui_zug.tif
2017-09-17T09:42:00.000+00:00,S3A,8.72068,6.93257,10.19903,11,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170917T094257_sui_zug.tif
2017-09-21T09:39:00.000+00:00,S3A,9.24742,6.79524,10.56468,9,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170921T093913_sui_zug.tif
